Disease	Type
"Alpha-Thalassemia/impaired Intellectual Development Syndrome, X-Linked"	"1,10,13,21"
"Prothrombin Deficiency, Congenital"	"1,7,21,24"
"Alpha-Thalassemia/impaired Intellectual Development Syndrome, Deletion Type"	"1,10,13,24"
Gata1-Related Cytopenia	1
Thrombophlebitis	"1,3"
Blood Group--Kell System	"1,21"
Ghosal Hematodiaphyseal Dysplasia	"1,2,8,20,21,24"
"Complement Hyperactivation, Angiopathic Thrombosis, and Protein-Losing Enteropathy"	"1,7,8,21,24"
Intracranial Thrombosis	"1,3,13"
"Blood Group, John Milton Hagen System"	"1,8,21"
Thrombosis	"1,3"
"Blood Group, Kidd System"	"1,21"
Sagittal Sinus Thrombosis	"1,3,13"
Factor V Leiden Thrombophilia	"1,16,24"
"Blood Group, Sid System"	"1,8,21"
Hematocrit/hemoglobin Quantitative Trait Locus 3	1
Essential Thrombocythemia	"1,19,21,24"
Hematocele of Tunica Vaginalis Testis	"1,5,15"
"Blood Group, Junior System"	"1,8,21"
Paroxysmal Nocturnal Hemoglobinuria	"1,8,12,21,23,24"
Perianal Hematoma	"1,3,7,17"
Blackwater Fever	"1,12,22"
"Blood Group, Cromer System"	"1,21"
"Blood Group, Colton System"	"1,21"
"Blood Group, Diego System"	"1,21"
"Blood Group, Chido/rodgers System"	"1,21"
Coronary Thrombosis	"1,3"
Cavernous Sinus Thrombosis	"1,3,13"
Lateral Sinus Thrombosis	"1,3,13"
Dk Phocomelia Syndrome	"1,13,20,24"
"Thrombocytopenia, Cyclic"	"1,24"
Raph Blood Group System	"1,21"
"Pulmonary Hypertension, Chronic Thromboembolic, Without Deep Vein Thrombosis"	"1,3,16"
Runx1 Familial Platelet Disorder with Associated Myeloid Malignancies	"1,19,21"
Etv6 Thrombocytopenia and Predisposition to Leukemia	"1,19,21"
Mean Platelet Volume/count Quantitative Trait Locus 2	1
Post-Thrombotic Syndrome	"1,3,24"
Aspirin Resistance	"1,3"
Radioulnar Synostosis with Amegakaryocytic Thrombocytopenia 2	"1,2,21"
"Hemoglobin, High Altitude Adaptation"	"1,21"
"Blood Group, Rh System"	"1,21"
"Blood Group, Er"	"1,21"
"Hemolytic Uremic Syndrome, Atypical 1"	"1,8,12,21,24"
Buerger Disease	"1,2,3,8,12,24"
"Blood Group, Globoside System"	"1,6,13,21"
Nonbacterial Thrombotic Endocarditis	"1,3,22"
Prekallikrein Deficiency	"1,21"
Thrombophilia Due to Histidine-Rich Glycoprotein Deficiency	"1,21"
"Macrothrombocytopenia, Isolated, 1, Autosomal Dominant"	"1,21"
Platelet-Activating Factor Acetylhydrolase Deficiency	"1,21"
"Blood Group, Lewis System"	"1,21"
Mondor Disease	"1,3,24"
Hematohidrosis	"1,17,24"
"Blood Group, Langereis System"	"1,21"
"Blood Group, Gerbich System"	"1,21"
