NCBI.GeneID	Symbol	Description	Taxonomic.Name	Common.Name	Gene.Type	Transcripts	Gene.Group.Identifier	Gene.Group.Method
7157	TP53	tumor protein p53	Homo sapiens	human	PROTEIN_CODING	26	7157	NCBI Ortholog
1956	EGFR	epidermal growth factor receptor	Homo sapiens	human	PROTEIN_CODING	13	1956	NCBI Ortholog
7124	TNF	tumor necrosis factor	Homo sapiens	human	PROTEIN_CODING	1	7124	NCBI Ortholog
348	APOE	apolipoprotein E	Homo sapiens	human	PROTEIN_CODING	5	348	NCBI Ortholog
7422	VEGFA	vascular endothelial growth factor A	Homo sapiens	human	PROTEIN_CODING	20	7422	NCBI Ortholog
3569	IL6	interleukin 6	Homo sapiens	human	PROTEIN_CODING	6	3569	NCBI Ortholog
7040	TGFB1	transforming growth factor beta 1	Homo sapiens	human	PROTEIN_CODING	3	7040	NCBI Ortholog
4524	MTHFR	methylenetetrahydrofolate reductase	Homo sapiens	human	PROTEIN_CODING	20	4524	NCBI Ortholog
2064	ERBB2	erb-b2 receptor tyrosine kinase 2	Homo sapiens	human	PROTEIN_CODING	33	2064	NCBI Ortholog
3091	HIF1A	hypoxia inducible factor 1 subunit alpha	Homo sapiens	human	PROTEIN_CODING	3	3091	NCBI Ortholog
2099	ESR1	estrogen receptor 1	Homo sapiens	human	PROTEIN_CODING	55	2099	NCBI Ortholog
3586	IL10	interleukin 10	Homo sapiens	human	PROTEIN_CODING	4	3586	NCBI Ortholog
351	APP	amyloid beta precursor protein	Homo sapiens	human	PROTEIN_CODING	11	351	NCBI Ortholog
1636	ACE	angiotensin I converting enzyme	Homo sapiens	human	PROTEIN_CODING	9	1636	NCBI Ortholog
672	BRCA1	BRCA1 DNA repair associated	Homo sapiens	human	PROTEIN_CODING	368	672	NCBI Ortholog
6774	STAT3	signal transducer and activator of transcription 3	Homo sapiens	human	PROTEIN_CODING	27	6774	NCBI Ortholog
4318	MMP9	matrix metallopeptidase 9	Homo sapiens	human	PROTEIN_CODING	1	4318	NCBI Ortholog
1401	CRP	C-reactive protein	Homo sapiens	human	PROTEIN_CODING	4	1401	NCBI Ortholog
3845	KRAS	KRAS proto-oncogene, GTPase	Homo sapiens	human	PROTEIN_CODING	6	3845	NCBI Ortholog
627	BDNF	brain derived neurotrophic factor	Homo sapiens	human	PROTEIN_CODING	17	627	NCBI Ortholog
673	BRAF	B-Raf proto-oncogene, serine/threonine kinase	Homo sapiens	human	PROTEIN_CODING	25	673	NCBI Ortholog
9370	ADIPOQ	adiponectin, C1Q and collagen domain containing	Homo sapiens	human	PROTEIN_CODING	2	9370	NCBI Ortholog
367	AR	androgen receptor	Homo sapiens	human	PROTEIN_CODING	6	367	NCBI Ortholog
207	AKT1	AKT serine/threonine kinase 1	Homo sapiens	human	PROTEIN_CODING	20	207	NCBI Ortholog
5243	ABCB1	ATP binding cassette subfamily B member 1	Homo sapiens	human	PROTEIN_CODING	4	5243	NCBI Ortholog
3123	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	Homo sapiens	human	PROTEIN_CODING	6	3123	NCBI Ortholog
4790	NFKB1	nuclear factor kappa B subunit 1	Homo sapiens	human	PROTEIN_CODING	17	4790	NCBI Ortholog
7421	VDR	vitamin D receptor	Homo sapiens	human	PROTEIN_CODING	10	7421	NCBI Ortholog
3553	IL1B	interleukin 1 beta	Homo sapiens	human	PROTEIN_CODING	3	3553	NCBI Ortholog
1029	CDKN2A	cyclin dependent kinase inhibitor 2A	Homo sapiens	human	PROTEIN_CODING	15	1029	NCBI Ortholog
5728	PTEN	phosphatase and tensin homolog	Homo sapiens	human	PROTEIN_CODING	3	5728	NCBI Ortholog
1499	CTNNB1	catenin beta 1	Homo sapiens	human	PROTEIN_CODING	22	1499	NCBI Ortholog
7099	TLR4	toll like receptor 4	Homo sapiens	human	PROTEIN_CODING	3	7099	NCBI Ortholog
5743	PTGS2	prostaglandin-endoperoxide synthase 2	Homo sapiens	human	PROTEIN_CODING	1	5743	NCBI Ortholog
4846	NOS3	nitric oxide synthase 3	Homo sapiens	human	PROTEIN_CODING	4	4846	NCBI Ortholog
1080	CFTR	CF transmembrane conductance regulator	Homo sapiens	human	PROTEIN_CODING	1	1080	NCBI Ortholog
1312	COMT	catechol-O-methyltransferase	Homo sapiens	human	PROTEIN_CODING	5	1312	NCBI Ortholog
6622	SNCA	synuclein alpha	Homo sapiens	human	PROTEIN_CODING	24	6622	NCBI Ortholog
3576	CXCL8	C-X-C motif chemokine ligand 8	Homo sapiens	human	PROTEIN_CODING	2	3576	NCBI Ortholog
29126	CD274	CD274 molecule	Homo sapiens	human	PROTEIN_CODING	6	29126	NCBI Ortholog
7015	TERT	telomerase reverse transcriptase	Homo sapiens	human	PROTEIN_CODING	4	7015	NCBI Ortholog
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	PROTEIN_CODING	16	5468	NCBI Ortholog
6532	SLC6A4	solute carrier family 6 member 4	Homo sapiens	human	PROTEIN_CODING	1	6532	NCBI Ortholog
4609	MYC	MYC proto-oncogene, bHLH transcription factor	Homo sapiens	human	PROTEIN_CODING	2	4609	NCBI Ortholog
4137	MAPT	microtubule associated protein tau	Homo sapiens	human	PROTEIN_CODING	68	4137	NCBI Ortholog
3106	HLA-B	major histocompatibility complex, class I, B	Homo sapiens	human	PROTEIN_CODING	4	3106	NCBI Ortholog
2475	MTOR	mechanistic target of rapamycin kinase	Homo sapiens	human	PROTEIN_CODING	13	2475	NCBI Ortholog
999	CDH1	cadherin 1	Homo sapiens	human	PROTEIN_CODING	4	999	NCBI Ortholog
3479	IGF1	insulin like growth factor 1	Homo sapiens	human	PROTEIN_CODING	13	3479	NCBI Ortholog
596	BCL2	BCL2 apoptosis regulator	Homo sapiens	human	PROTEIN_CODING	9	596	NCBI Ortholog
3952	LEP	leptin	Homo sapiens	human	PROTEIN_CODING	3	3952	NCBI Ortholog
7852	CXCR4	C-X-C motif chemokine receptor 4	Homo sapiens	human	PROTEIN_CODING	7	7852	NCBI Ortholog
2944	GSTM1	glutathione S-transferase mu 1	Homo sapiens	human	PROTEIN_CODING	3	2944	NCBI Ortholog
3458	IFNG	interferon gamma	Homo sapiens	human	PROTEIN_CODING	1	3458	NCBI Ortholog
675	BRCA2	BRCA2 DNA repair associated	Homo sapiens	human	PROTEIN_CODING	7	675	NCBI Ortholog
4193	MDM2	MDM2 proto-oncogene	Homo sapiens	human	PROTEIN_CODING	9	4193	NCBI Ortholog
3717	JAK2	Janus kinase 2	Homo sapiens	human	PROTEIN_CODING	9	3717	NCBI Ortholog
4313	MMP2	matrix metallopeptidase 2	Homo sapiens	human	PROTEIN_CODING	5	4313	NCBI Ortholog
920	CD4	CD4 molecule	Homo sapiens	human	PROTEIN_CODING	9	920	NCBI Ortholog
4780	NFE2L2	NFE2 like bZIP transcription factor 2	Homo sapiens	human	PROTEIN_CODING	8	4780	NCBI Ortholog
5594	MAPK1	mitogen-activated protein kinase 1	Homo sapiens	human	PROTEIN_CODING	2	5594	NCBI Ortholog
595	CCND1	cyclin D1	Homo sapiens	human	PROTEIN_CODING	1	595	NCBI Ortholog
3605	IL17A	interleukin 17A	Homo sapiens	human	PROTEIN_CODING	1	3605	NCBI Ortholog
5054	SERPINE1	serpin family E member 1	Homo sapiens	human	PROTEIN_CODING	12	5054	NCBI Ortholog
5444	PON1	paraoxonase 1	Homo sapiens	human	PROTEIN_CODING	1	5444	NCBI Ortholog
6347	CCL2	C-C motif chemokine ligand 2	Homo sapiens	human	PROTEIN_CODING	1	6347	NCBI Ortholog
1234	CCR5	C-C motif chemokine receptor 5	Homo sapiens	human	PROTEIN_CODING	3	1234	NCBI Ortholog
1026	CDKN1A	cyclin dependent kinase inhibitor 1A	Homo sapiens	human	PROTEIN_CODING	12	1026	NCBI Ortholog
5290	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	Homo sapiens	human	PROTEIN_CODING	9	5290	NCBI Ortholog
23411	SIRT1	sirtuin 1	Homo sapiens	human	PROTEIN_CODING	3	23411	NCBI Ortholog
332	BIRC5	baculoviral IAP repeat containing 5	Homo sapiens	human	PROTEIN_CODING	3	332	NCBI Ortholog
4879	NPPB	natriuretic peptide B	Homo sapiens	human	PROTEIN_CODING	1	4879	NCBI Ortholog
2952	GSTT1	glutathione S-transferase theta 1	Homo sapiens	human	PROTEIN_CODING	11	2952	NCBI Ortholog
6647	SOD1	superoxide dismutase 1	Homo sapiens	human	PROTEIN_CODING	1	6647	NCBI Ortholog
7097	TLR2	toll like receptor 2	Homo sapiens	human	PROTEIN_CODING	16	7097	NCBI Ortholog
4851	NOTCH1	notch receptor 1	Homo sapiens	human	PROTEIN_CODING	3	4851	NCBI Ortholog
960	CD44	CD44 molecule (IN blood group)	Homo sapiens	human	PROTEIN_CODING	62	960	NCBI Ortholog
1493	CTLA4	cytotoxic T-lymphocyte associated protein 4	Homo sapiens	human	PROTEIN_CODING	2	1493	NCBI Ortholog
2950	GSTP1	glutathione S-transferase pi 1	Homo sapiens	human	PROTEIN_CODING	1	2950	NCBI Ortholog
2147	F2	coagulation factor II, thrombin	Homo sapiens	human	PROTEIN_CODING	1	2147	NCBI Ortholog
3146	HMGB1	high mobility group box 1	Homo sapiens	human	PROTEIN_CODING	12	3146	NCBI Ortholog
4233	MET	MET proto-oncogene, receptor tyrosine kinase	Homo sapiens	human	PROTEIN_CODING	8	4233	NCBI Ortholog
3105	HLA-A	major histocompatibility complex, class I, A	Homo sapiens	human	PROTEIN_CODING	4	NA	
472	ATM	ATM serine/threonine kinase	Homo sapiens	human	PROTEIN_CODING	32	472	NCBI Ortholog
6387	CXCL12	C-X-C motif chemokine ligand 12	Homo sapiens	human	PROTEIN_CODING	5	6387	NCBI Ortholog
1813	DRD2	dopamine receptor D2	Homo sapiens	human	PROTEIN_CODING	6	1813	NCBI Ortholog
2153	F5	coagulation factor V	Homo sapiens	human	PROTEIN_CODING	1	2153	NCBI Ortholog
3119	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	Homo sapiens	human	PROTEIN_CODING	3	3119	NCBI Ortholog
3815	KIT	KIT proto-oncogene, receptor tyrosine kinase	Homo sapiens	human	PROTEIN_CODING	8	3815	NCBI Ortholog
