GSE,GSM,GSM_Organism,GSM_URL
GSE149871,GSM4516171,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516171/suppl/GSM4516171_IM1923UG_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516172,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516172/suppl/GSM4516172_IM1923UN_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516173,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516173/suppl/GSM4516173_IM1925UG_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516174,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516174/suppl/GSM4516174_IM1925UN_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516175,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516175/suppl/GSM4516175_IM1933G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516176,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516176/suppl/GSM4516176_IM1933N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516177,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516177/suppl/GSM4516177_IM1935G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516178,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516178/suppl/GSM4516178_IM1935N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516179,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516179/suppl/GSM4516179_IM1936G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516180,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516180/suppl/GSM4516180_IM1936N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516181,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516181/suppl/GSM4516181_IM1937G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516182,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516182/suppl/GSM4516182_IM1937N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516183,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516183/suppl/GSM4516183_IM1938UG_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516184,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516184/suppl/GSM4516184_IM1938UN_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516185,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516185/suppl/GSM4516185_IM1939G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516186,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516186/suppl/GSM4516186_IM1942G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516187,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516187/suppl/GSM4516187_IM1942N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516188,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516188/suppl/GSM4516188_IM1943G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516189,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516189/suppl/GSM4516189_IM1943N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516190,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516190/suppl/GSM4516190_IM1944G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516191,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516191/suppl/GSM4516191_IM1944UN_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516192,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516192/suppl/GSM4516192_IM1949G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516193,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516193/suppl/GSM4516193_IM1949N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516194,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516194/suppl/GSM4516194_IM1951UG_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516195,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516195/suppl/GSM4516195_IM1951UN_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516196,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516196/suppl/GSM4516196_IM1952G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516197,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516197/suppl/GSM4516197_IM1952N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516198,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516198/suppl/GSM4516198_IM1953UG_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516199,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516199/suppl/GSM4516199_IM1953UN_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516200,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516200/suppl/GSM4516200_IM1954G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516201,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516201/suppl/GSM4516201_IM1954N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516202,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516202/suppl/GSM4516202_IM1955G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516203,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516203/suppl/GSM4516203_IM1955N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516204,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516204/suppl/GSM4516204_IM1956G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516205,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516205/suppl/GSM4516205_IM1956N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516206,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516206/suppl/GSM4516206_IM1957G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516207,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516207/suppl/GSM4516207_IM1957N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516208,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516208/suppl/GSM4516208_IM1958G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516209,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516209/suppl/GSM4516209_IM1958N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516210,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516210/suppl/GSM4516210_IM1959G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516211,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516211/suppl/GSM4516211_IM1959N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516212,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516212/suppl/GSM4516212_IM1960UG_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516213,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516213/suppl/GSM4516213_IM1960UN_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516214,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516214/suppl/GSM4516214_IM1961N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516215,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516215/suppl/GSM4516215_IM1962G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516216,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516216/suppl/GSM4516216_IM1962N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516217,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516217/suppl/GSM4516217_IM1963G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516218,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516218/suppl/GSM4516218_IM1963N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516219,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516219/suppl/GSM4516219_IM1964G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516220,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516220/suppl/GSM4516220_IM1965G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516221,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516221/suppl/GSM4516221_IM1965N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516222,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516222/suppl/GSM4516222_IM1966G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516223,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516223/suppl/GSM4516223_IM1966N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516224,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516224/suppl/GSM4516224_IM1968N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516225,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516225/suppl/GSM4516225_IM1970G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516226,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516226/suppl/GSM4516226_IM1970N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516227,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516227/suppl/GSM4516227_IM1972UG_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516228,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516228/suppl/GSM4516228_IM1972UN_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516229,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516229/suppl/GSM4516229_IM1973G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516230,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516230/suppl/GSM4516230_IM1973N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516231,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516231/suppl/GSM4516231_IM1974G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516232,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516232/suppl/GSM4516232_IM1974N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516233,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516233/suppl/GSM4516233_IM1975G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516234,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516234/suppl/GSM4516234_IM1975N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516235,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516235/suppl/GSM4516235_IM1977G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516236,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516236/suppl/GSM4516236_IM1977N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516237,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516237/suppl/GSM4516237_IM1978G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516238,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516238/suppl/GSM4516238_IM1978N_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516239,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516239/suppl/GSM4516239_IM1979G_norm_sorted_rmdup_nochrM.bw']
GSE149871,GSM4516240,['Homo sapiens'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4516nnn/GSM4516240/suppl/GSM4516240_IM1979UN_norm_sorted_rmdup_nochrM.bw']
GSE164789,GSM5019481,['Homo sapiens'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5019nnn/GSM5019481/suppl/GSM5019481_CXL-A.barcodes.tsv.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5019nnn/GSM5019481/suppl/GSM5019481_CXL-A.genes.tsv.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5019nnn/GSM5019481/suppl/GSM5019481_CXL-A.matrix.mtx.gz']"
GSE164789,GSM5019482,['Homo sapiens'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5019nnn/GSM5019482/suppl/GSM5019482_CXL-T.barcodes.tsv.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5019nnn/GSM5019482/suppl/GSM5019482_CXL-T.genes.tsv.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5019nnn/GSM5019482/suppl/GSM5019482_CXL-T.matrix.mtx.gz']"
