NCBI.GeneID	ySmbol	Description	Taxonomic.Name	Common.Name	Gene.Type	Transcripts	Gene.Group.Identifier	Gene.Group.Method
22059	Trp53	transformation related protein 53	Mus musculus	house mouse	PROTEIN_CODING	5	7157	NCBI Ortholog
11816	Apoe	apolipoprotein E	Mus musculus	house mouse	PROTEIN_CODING	5	348	NCBI Ortholog
21898	Tlr4	toll-like receptor 4	Mus musculus	house mouse	PROTEIN_CODING	2	7099	NCBI Ortholog
21926	Tnf	tumor necrosis factor	Mus musculus	house mouse	PROTEIN_CODING	2	7124	NCBI Ortholog
15978	Ifng	interferon gamma	Mus musculus	house mouse	PROTEIN_CODING	1	3458	NCBI Ortholog
16847	Lepr	leptin receptor	Mus musculus	house mouse	PROTEIN_CODING	6	3953	NCBI Ortholog
16846	Lep	leptin	Mus musculus	house mouse	PROTEIN_CODING	1	3952	NCBI Ortholog
16153	Il10	interleukin 10	Mus musculus	house mouse	PROTEIN_CODING	2	3586	NCBI Ortholog
16193	Il6	interleukin 6	Mus musculus	house mouse	PROTEIN_CODING	2	3569	NCBI Ortholog
21803	Tgfb1	transforming growth factor, beta 1	Mus musculus	house mouse	PROTEIN_CODING	2	7040	NCBI Ortholog
12387	Ctnnb1	catenin beta 1	Mus musculus	house mouse	PROTEIN_CODING	7	1499	NCBI Ortholog
17874	Myd88	myeloid differentiation primary response gene 88	Mus musculus	house mouse	PROTEIN_CODING	1	4615	NCBI Ortholog
13405	Dmd	dystrophin, muscular dystrophy	Mus musculus	house mouse	PROTEIN_CODING	19	1756	NCBI Ortholog
24088	Tlr2	toll-like receptor 2	Mus musculus	house mouse	PROTEIN_CODING	3	7097	NCBI Ortholog
14102	Fas	Fas cell surface death receptor	Mus musculus	house mouse	PROTEIN_CODING	8	355	NCBI Ortholog
18024	Nfe2l2	nuclear factor, erythroid derived 2, like 2	Mus musculus	house mouse	PROTEIN_CODING	2	4780	NCBI Ortholog
20848	Stat3	signal transducer and activator of transcription 3	Mus musculus	house mouse	PROTEIN_CODING	4	6774	NCBI Ortholog
19211	Pten	phosphatase and tensin homolog	Mus musculus	house mouse	PROTEIN_CODING	2	5728	NCBI Ortholog
20423	Shh	sonic hedgehog	Mus musculus	house mouse	PROTEIN_CODING	4	6469	NCBI Ortholog
